"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"gt-s7582","samsung","galaxy s duos 2 s7582",2013,"December","130","4","also known as samsung galaxy trend plus s7580 with single-sim card slot"
"grand","blu","grand 5.5 hd",2016,"July",NA,"5.5",NA
"gt-i9152","samsung","galaxy mega 5.8 i9150",2013,"May","280","5.8","available as samsung galaxy mega duos i9152 with dual-sim card slots"
"lumia 730 dual sim","nokia","lumia 730 dual sim",2014,"September","170","4.7","also known as nokia lumia 730 dual sim rm-1040"
"n5111","oppo","n1 mini",2014,"August","330","5",NA
"iris 750",NA,NA,NA,NA,NA,NA,NA
"sm-j510","samsung","galaxy j5 (2016)",2016,"April","250","5.2","versions: j510fn (europe); j510f (hk, india, south africa, thailand); j510g (malaysia, indonesia); j510y (new zealand); j510m (latam)
also known as samsung galaxy j5 duos (2016) with dual-sim card slots"
"vivo v3",NA,NA,NA,NA,NA,NA,NA
"smart 4g speedy 4inch",NA,NA,NA,NA,NA,NA,NA
"r2001","oppo","r2001 yoyo",2014,"May","200","4.7",NA
"asus z00ad","asus","zenfone 2 deluxe ze551ml",2015,"September","500","5.5","also known as asus zenfone 2 deluxe special edition"
"asus z00ld","asus","zenfone 2 laser ze550kl",2015,"September","220","5.5",NA
"asus z00ed","asus","zenfone 2 laser ze500kl",2015,"August","210","5",NA
"lumia 540 dual sim","microsoft","lumia 540 dual sim",2015,"May","100","5",NA
"iris353",NA,NA,NA,NA,NA,NA,NA
"lava a1",NA,NA,NA,NA,NA,NA,NA
"lenovo p1ma40","lenovo","vibe p1m",2015,"October","110","5",NA
"lenny3",NA,NA,NA,NA,NA,NA,NA
"vivo v3max",NA,NA,NA,NA,NA,NA,NA
